CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
807986133.0,Existing Customer,57.0,M,2.0,College,Married,$60K - $80K,Blue,52.0,5.0,3.0,3.0,6584.0,1817.0,4767.0,0.62,1353.0,35.0,0.667,0.276
788730933.0,Existing Customer,44.0,F,2.0,Uneducated,Single,Less than $40K,Blue,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.704
711314058.0,Existing Customer,49.0,M,2.0,Graduate,Married,$60K - $80K,Blue,32.0,2.0,2.0,2.0,1687.0,1107.0,580.0,1.715,1670.0,17.0,2.4,0.656
717975333.0,Existing Customer,50.0,M,2.0,Doctorate,Married,$80K - $120K,Blue,38.0,6.0,2.0,2.0,25300.0,1330.0,23970.0,1.072,836.9999999999995,14.999999999999993,2.0,0.05299999999999999
715971108.0,Existing Customer,51.0,M,4.0,Graduate,Single,$120K +,Blue,42.0,3.0,2.0,3.0,34516.0,1763.0,32753.0,1.266,1550.0,41.0,1.05,0.05099999999999999
720096558.0,Existing Customer,55.0,F,2.0,Graduate,Married,Less than $40K,Blue,42.0,5.0,3.0,3.0,2216.0,1034.0,1182.0,0.758,1540.0,36.0,0.286,0.467
820582308.0,Existing Customer,42.0,M,5.0,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2.0,2.0,22913.0,1528.0,21385.0,0.414,1394.0,35.0,0.522,0.067
789973308.0,Existing Customer,44.0,M,1.0,College,Single,$60K - $80K,Blue,35.0,3.0,3.0,3.0,24312.0,1932.0,22380.0,1.312,1341.0,24.0,1.182,0.07900000000000001
712876233.0,Existing Customer,53.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,5.0,3.0,2.0,5272.0,1515.0,3757.0,0.857,1289.0,33.0,0.435,0.287
804595158.0,Existing Customer,44.0,F,4.0,Graduate,Single,Less than $40K,Blue,36.0,6.0,4.0,2.0,7000.0,2517.0,4483.0,0.475,1112.0,23.0,1.875,0.36
714826758.0,Existing Customer,37.0,F,3.0,Uneducated,Single,Less than $40K,Blue,29.0,4.0,4.0,2.0,7038.0,1801.0,5237.0,0.751,2339.0,57.0,0.966,0.256
779058108.0,Existing Customer,49.0,M,3.0,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1.0,2.0,2536.0,1823.0,713.0,0.703,1468.0,23.0,0.353,0.719
710790258.0,Existing Customer,47.0,M,2.0,Graduate,Married,$80K - $120K,Blue,38.0,6.0,3.0,2.0,28904.0,1899.0,27005.0,0.85,1334.0,35.0,0.4,0.066
715623483.0,Existing Customer,47.0,M,3.0,Graduate,Married,$60K - $80K,Blue,37.0,4.0,4.0,0.0,8567.0,1695.0,6872.0,1.242,1457.0,41.0,1.412,0.198
794543958.0,Existing Customer,53.0,M,1.0,Graduate,Divorced,$80K - $120K,Blue,35.0,5.0,4.0,2.0,34516.0,1219.0,33297.0,1.129,1590.0,27.0,2.0,0.034999999999999976
716396358.0,Existing Customer,52.0,M,2.0,Graduate,Married,$60K - $80K,Blue,47.0,5.0,3.0,0.0,3085.0,1910.0,1175.0,0.921,1531.0,35.0,0.667,0.619
715398033.0,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,35.0,4.0,2.0,1.0,19040.0,2056.0,16984.0,0.607,1212.0,31.0,0.722,0.10799999999999998
711743883.0,Existing Customer,43.0,F,3.0,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2.0,3.0,4026.0,0.0,4026.0,0.483,1237.0,32.0,0.6,0.0
719720058.0,Existing Customer,44.0,M,3.0,High School,Single,$60K - $80K,Blue,31.0,4.0,3.0,1.0,12756.0,837.0,11919.0,1.932,1413.0,14.000000000000007,1.8,0.066
717539808.0,Existing Customer,51.0,F,2.0,High School,Single,Less than $40K,Blue,36.0,3.0,2.0,2.0,9930.0,0.0,9930.0,0.731,1276.0,21.0,1.333,0.0
714070758.0,Existing Customer,49.0,M,4.0,High School,Single,$80K - $120K,Blue,38.0,4.0,3.0,0.0,31302.0,1953.0,29349.0,0.875,1564.0,35.0,2.182,0.062
714107958.0,Existing Customer,45.0,M,1.0,Graduate,Single,$40K - $60K,Blue,36.0,4.0,4.0,3.0,6576.0,0.0,6576.0,0.579,1465.0,34.0,0.619,0.0
789140283.0,Existing Customer,53.0,M,0.0,Graduate,Single,$80K - $120K,Blue,42.0,5.0,4.0,1.0,2664.0,2037.0,627.0,0.85,1286.0,29.0,0.933,0.765
719712633.0,Existing Customer,64.0,M,1.0,Graduate,Married,Less than $40K,Blue,52.0,6.0,4.0,3.0,1709.0,895.0,814.0,1.656,1673.0,32.0,0.882,0.524
772629333.0,Existing Customer,45.0,M,3.0,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4.0,2.0,3454.0,1200.0,2254.0,0.597,1313.0,30.0,0.304,0.347
720336708.0,Existing Customer,53.0,M,3.0,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3.0,2.0,3789.0,1706.0,2083.0,1.047,1609.0,42.0,0.68,0.45
802013583.0,Existing Customer,56.0,M,3.0,College,Married,$120K +,Blue,50.0,3.0,2.0,0.0,9689.0,2250.0,7439.0,0.576,1158.0,19.0,0.727,0.232
779155158.0,Existing Customer,53.0,M,3.0,Graduate,Married,$120K +,Blue,34.0,6.0,2.0,2.0,2940.000000000001,1264.0,1676.0,0.562,1259.0,33.0,0.5,0.43
721091583.0,Existing Customer,44.0,F,2.0,Graduate,Single,Less than $40K,Blue,32.0,3.0,3.0,3.0,3031.0,1879.0,1152.000000000001,0.788,1298.0,14.999999999999993,1.5,0.62
716657058.0,Existing Customer,43.0,F,4.0,Post-Graduate,Married,Less than $40K,Blue,33.0,2.0,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.11099999999999999
779509983.0,Existing Customer,53.0,M,2.0,Post-Graduate,Single,$120K +,Blue,36.0,6.0,1.0,2.0,34516.0,931.0,33585.0,0.828,1022.0,21.0,1.1,0.026999999999999996
717929133.0,Existing Customer,44.0,M,1.0,Uneducated,Married,$60K - $80K,Blue,36.0,5.0,2.0,3.0,14450.0,2440.0,12010.0,1.283,1235.0,30.0,0.667,0.169
710916408.0,Existing Customer,57.0,M,4.0,Graduate,Married,$60K - $80K,Blue,39.0,4.0,3.0,0.0,8466.0,1886.0,6580.0,0.56,1342.0,32.0,0.391,0.223
799825758.0,Existing Customer,42.0,M,4.0,High School,Divorced,$60K - $80K,Blue,36.0,5.0,1.0,2.0,3263.0,1674.0,1589.0,0.588,1251.0,35.0,0.346,0.513
718619883.0,Existing Customer,54.0,F,0.0,Uneducated,Married,Less than $40K,Blue,36.0,2.0,2.0,2.0,1494.0,706.0,788.0,1.674,1305.0,24.0,3.0,0.473
711844758.0,Existing Customer,48.0,M,3.0,Graduate,Single,$80K - $120K,Blue,35.0,6.0,1.0,0.0,13551.0,1294.0,12257.0,0.791,1388.0,37.0,1.056,0.095
714798783.0,Existing Customer,49.0,M,1.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,2.0,2.0,18886.0,895.0,17991.0,1.826,1235.0,18.0,1.571,0.046999999999999986
771894558.0,Existing Customer,50.0,M,3.0,High School,Single,$80K - $120K,Blue,39.0,4.0,1.0,4.0,9964.0,1559.0,8405.0,1.873,1626.0,25.0,0.786,0.156
721074183.0,Existing Customer,49.0,M,1.0,Doctorate,Married,$60K - $80K,Blue,36.0,4.0,6.0,3.0,24159.0,1196.0,22963.0,0.712,1111.0,24.0,1.0,0.04999999999999999
715259583.0,Existing Customer,53.0,F,2.0,High School,Married,Less than $40K,Blue,44.0,3.0,2.0,3.0,5362.0,1901.0,3461.0,0.816,1553.0,38.0,1.0,0.355
718414008.0,Existing Customer,50.0,M,2.0,Graduate,Single,$120K +,Blue,36.0,3.0,2.0,2.0,34516.0,1023.0,33493.0,1.004,1064.0,13.0,0.625,0.03
719666283.0,Existing Customer,55.0,F,1.0,Doctorate,Married,Less than $40K,Blue,36.0,4.0,1.0,0.0,3174.0,1951.0,1223.0,0.766,1243.0,29.0,0.611,0.615
714877233.0,Existing Customer,53.0,M,1.0,High School,Married,$80K - $120K,Blue,47.0,3.0,2.0,2.0,12262.0,1836.0,10426.0,1.584,1659.0,38.0,1.533,0.15
785387883.0,Existing Customer,47.0,F,3.0,High School,Single,$40K - $60K,Blue,41.0,4.0,3.0,3.0,3788.0,1540.0,2248.0,0.566,1594.0,47.0,0.382,0.407
771075258.0,Existing Customer,55.0,M,2.0,College,Single,$120K +,Silver,42.0,2.0,3.0,2.0,34516.0,1527.0,32989.0,0.526,1268.0,42.0,0.355,0.043999999999999984
711318033.0,Existing Customer,47.0,M,3.0,Graduate,Single,$60K - $80K,Blue,36.0,4.0,2.0,2.0,2926.0,0.0,2926.0,0.676,1304.0,24.0,0.846,0.0
783554958.0,Existing Customer,58.0,M,4.0,Graduate,Single,$120K +,Blue,52.0,6.0,1.0,0.0,32090.0,0.0,32090.0,0.567,1368.0,30.0,0.364,0.0
720201033.0,Attrited Customer,53.0,M,2.0,Graduate,Married,$80K - $120K,Blue,41.0,3.0,3.0,2.0,11669.0,2227.0,9442.0,0.622,720.0,23.0,0.353,0.191
718039683.0,Existing Customer,52.0,M,2.0,High School,Single,$40K - $60K,Blue,45.0,3.0,1.0,2.0,13532.0,1300.0,12232.0,0.846,1521.0,29.0,1.417,0.096
714752208.0,Existing Customer,42.0,F,1.0,Graduate,Married,Less than $40K,Blue,36.0,5.0,1.0,2.0,2393.0,1985.0,408.0,0.788,978.0,16.0,0.778,0.83
714490308.0,Existing Customer,57.0,M,4.0,Graduate,Married,$80K - $120K,Blue,46.0,3.0,2.0,3.0,19270.0,1662.0,17608.0,1.186,1565.0,28.0,1.545,0.086
713356833.0,Existing Customer,52.0,M,1.0,Graduate,Married,$80K - $120K,Blue,43.0,3.0,1.0,4.0,3710.0,2517.0,1193.0,1.541,1578.0,34.0,0.7,0.678
711402333.0,Existing Customer,47.0,M,2.0,Doctorate,Single,Less than $40K,Blue,37.0,2.0,1.0,3.0,3235.0,797.0,2438.0,0.541,1493.0,32.0,1.0,0.246
708296883.0,Existing Customer,44.0,F,3.0,Graduate,Single,$40K - $60K,Blue,38.0,3.0,1.0,0.0,11749.0,788.0,10961.0,0.688,1178.0,27.0,0.929,0.067
719154483.0,Existing Customer,53.0,M,2.0,High School,Divorced,$60K - $80K,Blue,36.0,5.0,3.0,2.0,7753.0,2100.0,5653.0,0.839,991.0,26.0,0.733,0.271
717721458.0,Existing Customer,45.0,M,4.0,College,Divorced,$60K - $80K,Blue,40.0,5.0,1.0,0.0,10408.0,1186.0,9222.0,1.689,2560.0,42.0,1.211,0.11399999999999999
715674483.0,Existing Customer,39.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,27.0,4.0,2.0,2.0,6205.0,2517.0,3688.0,0.939,1204.0,19.0,0.727,0.406
789322833.0,Attrited Customer,48.0,F,5.0,High School,Married,Less than $40K,Blue,38.0,1.0,3.0,3.0,8025.0,0.0,8025.0,0.654,673.0,18.0,0.8,0.0
709919283.0,Existing Customer,54.0,M,4.0,Graduate,Married,$80K - $120K,Blue,34.0,2.0,3.0,2.0,14926.0,2517.0,12409.0,1.996,1576.0,25.0,1.5,0.169
718744008.0,Existing Customer,59.0,F,1.0,Graduate,Single,Less than $40K,Blue,36.0,3.0,2.0,3.0,6335.0,1128.0,5207.0,0.397,1217.0,20.0,0.667,0.178
767712558.0,Attrited Customer,59.0,M,1.0,College,Single,$60K - $80K,Blue,53.0,2.0,3.0,3.0,14979.0,0.0,14979.0,0.71,529.9999999999995,10.0,1.0,0.0
712950783.0,Attrited Customer,48.0,F,4.0,Uneducated,Married,Less than $40K,Blue,38.0,3.0,2.0,3.0,2732.0,0.0,2732.0,0.76,738.9999999999995,16.0,0.455,0.0
716104983.0,Existing Customer,41.0,F,2.0,Graduate,Single,Less than $40K,Blue,32.0,6.0,3.0,2.0,2250.0,2117.0,133.0,1.162,1617.0,31.0,2.875,0.941
818839983.0,Existing Customer,55.0,M,2.0,Graduate,Married,$120K +,Blue,50.0,3.0,2.0,0.0,10916.0,1536.0,9380.0,1.317,1592.0,34.0,1.0,0.141
712350858.0,Existing Customer,41.0,M,2.0,High School,Married,$80K - $120K,Blue,24.0,4.0,1.0,3.0,9366.0,1104.0,8262.0,0.572,1303.0,39.0,0.625,0.118
711009708.0,Existing Customer,40.0,M,3.0,High School,Single,$80K - $120K,Blue,28.0,5.0,1.0,0.0,21617.0,0.0,21617.0,1.047,1351.0,22.0,0.4670000000000001,0.0
712215258.0,Existing Customer,50.0,F,1.0,Graduate,Single,$40K - $60K,Silver,31.0,2.0,2.0,3.0,18386.0,0.0,18386.0,0.868,1298.0,22.0,0.571,0.0
773827008.0,Existing Customer,47.0,M,4.0,Uneducated,Single,$60K - $80K,Blue,41.0,6.0,2.0,2.0,2405.0,1540.0,865.0,0.469,1087.0,29.0,1.231,0.64
795232683.0,Existing Customer,53.0,F,1.0,College,Married,Less than $40K,Blue,47.0,4.0,2.0,3.0,2154.0,930.0,1224.0,2.121,1439.0,26.0,1.364,0.432
713539833.0,Existing Customer,48.0,F,4.0,High School,Single,$40K - $60K,Blue,38.0,6.0,1.0,3.0,8135.0,0.0,8135.0,1.373,1716.0,29.0,0.812,0.0
712454058.0,Existing Customer,49.0,M,1.0,Doctorate,Married,$120K +,Blue,38.0,6.0,1.0,3.0,9364.0,618.0,8746.0,0.554,1099.0,27.0,0.8,0.066
718803333.0,Existing Customer,43.0,F,4.0,Graduate,Divorced,Less than $40K,Blue,34.0,2.0,3.0,1.0,3195.0,1954.0,1240.999999999999,0.971,1285.0,29.0,0.706,0.612
720253908.0,Existing Customer,56.0,M,0.0,High School,Married,$80K - $120K,Blue,43.0,5.0,2.0,1.0,2852.0,1024.0,1828.0,1.009,1651.0,28.0,1.0,0.359
713187033.0,Existing Customer,46.0,M,1.0,Uneducated,Married,$60K - $80K,Blue,36.0,3.0,2.0,2.0,20459.0,2071.0,18388.0,1.248,1767.0,38.0,2.167,0.101
772426383.0,Existing Customer,50.0,F,4.0,Uneducated,Married,$40K - $60K,Blue,40.0,5.0,2.0,3.0,3065.0,1570.0,1495.0,1.077,1130.0,28.0,1.333,0.512
710975883.0,Existing Customer,51.0,F,3.0,Uneducated,Married,Less than $40K,Blue,43.0,3.0,1.0,2.0,2185.0,1761.0,424.0,0.682,1645.0,30.0,0.429,0.806
714264408.0,Existing Customer,47.0,F,3.0,Uneducated,Married,Less than $40K,Blue,36.0,4.0,1.0,0.0,1611.0,746.0,865.0,0.993,1413.0,29.0,0.706,0.463
715827858.0,Existing Customer,58.0,F,4.0,Uneducated,Married,Less than $40K,Blue,47.0,3.0,3.0,3.0,2821.999999999999,2173.0,649.0,1.456,1218.0,23.0,2.286,0.77
713741358.0,Attrited Customer,46.0,M,5.0,Graduate,Single,$80K - $120K,Blue,33.0,6.0,3.0,3.0,32975.0,2517.0,30458.000000000004,0.658,597.0000000000005,17.0,0.7,0.07600000000000001
709531908.0,Existing Customer,53.0,M,3.0,High School,Married,$60K - $80K,Blue,47.0,5.0,2.0,2.0,1438.2999999999993,0.0,1438.3000000000002,0.776,2184.0,53.0,0.828,0.0
714141108.0,Existing Customer,52.0,F,1.0,High School,Married,Less than $40K,Blue,45.0,6.0,3.0,3.0,6703.0,893.0,5810.0,0.567,1388.0,28.0,0.75,0.133
712608783.0,Existing Customer,50.0,M,2.0,High School,Married,$80K - $120K,Silver,45.0,3.0,1.0,3.0,34516.0,1260.0,33256.0,0.588,1504.0,34.0,0.789,0.037000000000000005
820353558.0,Existing Customer,41.0,F,3.0,High School,Married,$40K - $60K,Blue,36.0,4.0,1.0,2.0,9797.0,1434.0,8363.0,0.644,1503.0,34.0,0.478,0.146
714964758.0,Existing Customer,45.0,F,5.0,Graduate,Divorced,$40K - $60K,Blue,36.0,5.0,2.0,2.0,10400.0,1777.0,8623.0,0.791,1105.0,28.0,0.867,0.171
716264358.0,Existing Customer,53.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,42.0,2.0,1.0,2.0,26792.0,1836.0,24956.0,1.432,2398.0,47.0,0.88,0.069
717296808.0,Existing Customer,67.0,F,1.0,Graduate,Married,Less than $40K,Blue,56.0,4.0,3.0,2.0,3006.0,2517.0,489.0,2.053,1661.0,32.0,1.0,0.8369999999999999
712977183.0,Existing Customer,57.0,F,2.0,Uneducated,Single,$40K - $60K,Silver,36.0,6.0,3.0,0.0,19482.0,1072.0,18410.0,0.706,1421.0,22.0,1.444,0.05499999999999999
710829108.0,Existing Customer,59.0,F,1.0,Uneducated,Married,$40K - $60K,Blue,36.0,4.0,2.0,3.0,3356.0,985.0,2370.999999999999,0.35,999.0,28.0,0.556,0.294
779562633.0,Existing Customer,45.0,M,2.0,Uneducated,Married,$40K - $60K,Blue,34.0,3.0,2.0,1.0,5771.0,2248.0,3523.0,1.791,1387.0,18.0,0.8,0.39
715315833.0,Existing Customer,51.0,M,3.0,Graduate,Married,$80K - $120K,Blue,36.0,6.0,2.0,3.0,11106.0,2107.0,8999.0,0.948,1243.0,24.0,1.0,0.19
815500983.0,Existing Customer,59.0,F,1.0,Uneducated,Married,Less than $40K,Blue,54.0,5.0,3.0,0.0,2890.0,2001.0,888.9999999999991,1.334,1860.0,36.0,1.0,0.692
719360583.0,Existing Customer,53.0,M,1.0,Graduate,Married,$60K - $80K,Blue,45.0,6.0,2.0,2.0,3379.999999999999,1701.0,1679.0,0.747,1502.0,25.0,1.273,0.503
709701558.0,Existing Customer,47.0,M,3.0,Graduate,Married,$60K - $80K,Blue,36.0,2.0,1.0,2.0,21331.0,1251.0,20080.0,0.949,1460.0,50.0,1.083,0.059
779862408.0,Existing Customer,49.0,M,3.0,Post-Graduate,Single,$80K - $120K,Blue,33.0,3.0,1.0,0.0,6278.0,462.0,5816.0,1.161,1087.0,33.0,0.941,0.07400000000000001
812627208.0,Existing Customer,60.0,F,0.0,College,Single,Less than $40K,Blue,55.0,5.0,1.0,3.0,1438.2999999999993,738.0,700.3000000000002,0.782,1226.0,33.0,0.571,0.513
711033408.0,Existing Customer,50.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,5.0,1.0,2.0,9355.0,1626.0,7729.0,0.701,1230.0,28.0,0.867,0.174
780376683.0,Existing Customer,57.0,M,1.0,Graduate,Married,$80K - $120K,Blue,47.0,5.0,3.0,1.0,14612.0,1976.0,12636.0,1.768,1827.0,24.0,3.0,0.135
714454758.0,Existing Customer,57.0,F,3.0,Graduate,Married,Less than $40K,Blue,47.0,4.0,2.0,3.0,6347.0,1594.0,4753.0,0.896,1771.0,37.0,0.762,0.251
780466533.0,Existing Customer,54.0,M,3.0,Doctorate,Married,$120K +,Blue,41.0,3.0,3.0,0.0,21592.0,1676.0,19916.0,1.097,1873.0,52.0,0.529,0.07800000000000001
715735233.0,Existing Customer,51.0,F,5.0,Post-Graduate,Married,Less than $40K,Blue,44.0,5.0,1.0,1.0,3449.0,1598.0,1851.000000000001,0.971,1679.0,42.0,0.556,0.463
